Surname,Race,Number of occurrences among people self-identifying as this race,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as this race,U.S. Rank,U.S. total occurrences
QUINONEZ,Hispanic,7971,504,94.6%,3870,8426
ROQUE,Hispanic,7904,505,73.1%,3076,10806
SAUCEDA,Hispanic,7879,506,92.4%,3821,8529
YOUNG,Hispanic,7875,507,1.7%,31,465948
ESTRELLA,Hispanic,7871,508,77.4%,3221,10167
FALCON,Hispanic,7798,509,68.6%,2899,11371
CARREON,Hispanic,7798,509,84.6%,3538,9218
BRISENO,Hispanic,7774,511,93.5%,3927,8312
FLOREZ,Hispanic,7732,512,88.1%,3709,8775
LLAMAS,Hispanic,7716,513,90.6%,3829,8521
CEPEDA,Hispanic,7708,514,90.2%,3810,8544
OLIVAREZ,Hispanic,7681,515,91.7%,3896,8378
CAMARENA,Hispanic,7666,516,94.7%,4027,8094
ALTAMIRANO,Hispanic,7643,517,93.2%,3979,8200
RUELAS,Hispanic,7635,518,95.0%,4079,8033
BOTELLO,Hispanic,7622,519,92.0%,3938,8287
RESENDEZ,Hispanic,7615,520,94.2%,4036,8086
URENA,Hispanic,7608,521,94.3%,4052,8064
MILLAN,Hispanic,7551,522,82.7%,3572,9127
ALBA,Hispanic,7536,523,76.3%,3324,9872
PEREA,Hispanic,7523,524,85.4%,3700,8808
ALLEN,Hispanic,7507,525,1.6%,32,463368
RUVALCABA,Hispanic,7485,526,97.5%,4274,7673
SIFUENTES,Hispanic,7482,527,94.6%,4144,7911
PEDROZA,Hispanic,7462,528,93.6%,4117,7976
RAMON,Hispanic,7448,529,80.8%,3539,9216
TERRAZAS,Hispanic,7445,530,92.6%,4067,8044
CORRALES,Hispanic,7433,531,88.8%,3900,8373
GUARDADO,Hispanic,7400,532,95.3%,4221,7769
ALCARAZ,Hispanic,7359,533,91.5%,4070,8041
RESENDIZ,Hispanic,7348,534,96.6%,4323,7605
MONTIEL,Hispanic,7319,535,92.7%,4152,7899
MENENDEZ,Hispanic,7315,536,80.9%,3612,9045
SOLIZ,Hispanic,7309,537,90.9%,4070,8041
CACERES,Hispanic,7301,538,90.7%,4061,8050
ALMONTE,Hispanic,7299,539,89.6%,4003,8149
ADAMS,Hispanic,7270,540,1.8%,39,413086
AMARO,Hispanic,7254,541,84.4%,3784,8593
VILLAREAL,Hispanic,7248,542,84.5%,3797,8577
LORENZO,Hispanic,7244,543,57.6%,2643,12568
GALARZA,Hispanic,7244,543,92.7%,4205,7811
ZELAYA,Hispanic,7237,545,93.0%,4219,7785
CAMARILLO,Hispanic,7227,546,91.2%,4134,7928
BOLANOS,Hispanic,7203,547,93.0%,4236,7745
ARENAS,Hispanic,7173,548,87.3%,3970,8220
JACOBO,Hispanic,7172,549,94.8%,4346,7566
MONTEZ,Hispanic,7163,550,86.1%,3921,8322
VILLAGOMEZ,Hispanic,7159,551,94.4%,4334,7584
GODOY,Hispanic,7157,552,86.5%,3942,8274
ZAMUDIO,Hispanic,7155,553,93.8%,4303,7629
LANDEROS,Hispanic,7152,554,95.5%,4383,7492
CURIEL,Hispanic,7147,555,93.8%,4307,7621
ALANIS,Hispanic,7144,556,94.4%,4345,7567
KING,Hispanic,7112,557,1.6%,35,438986
SERRATO,Hispanic,7111,558,93.4%,4318,7610
ACEVES,Hispanic,7107,559,94.7%,4378,7502
OCASIO,Hispanic,7105,560,92.5%,4268,7685
NARVAEZ,Hispanic,7103,561,90.3%,4177,7865
TAFOYA,Hispanic,7071,562,78.4%,3621,9014
GREEN,Hispanic,7070,563,1.7%,37,413477
SCOTT,Hispanic,7058,564,1.7%,36,420091
AMBRIZ,Hispanic,7039,565,96.5%,4478,7291
LARIOS,Hispanic,7036,566,93.6%,4365,7521
OROSCO,Hispanic,7023,567,90.0%,4210,7802
CARRION,Hispanic,6983,568,85.9%,4012,8129
VALLADARES,Hispanic,6979,569,92.9%,4369,7516
ESTEVEZ,Hispanic,6977,570,90.6%,4256,7702
MONTENEGRO,Hispanic,6961,571,87.6%,4124,7943
NINO,Hispanic,6952,572,86.7%,4085,8023
PICHARDO,Hispanic,6929,573,94.8%,4462,7308
NELSON,Hispanic,6926,574,1.7%,40,412236
TELLO,Hispanic,6921,575,89.8%,4252,7707
HERNANDES,Hispanic,6905,576,94.4%,4461,7313
LEBRON,Hispanic,6879,577,86.7%,4129,7938
BELLO,Hispanic,6867,578,57.5%,2779,11933
OLGUIN,Hispanic,6862,579,87.6%,4197,7835
PAEZ,Hispanic,6862,579,89.0%,4250,7711
TIJERINA,Hispanic,6860,581,91.1%,4358,7530
MANZO,Hispanic,6854,582,64.7%,3126,10595
MARTINES,Hispanic,6837,583,85.0%,4070,8041
TORO,Hispanic,6800,584,79.3%,3798,8576
CALVILLO,Hispanic,6783,585,93.4%,4494,7265
IGLESIAS,Hispanic,6776,586,85.0%,4118,7975
ECHEVARRIA,Hispanic,6774,587,89.2%,4331,7590
TRINIDAD,Hispanic,6764,588,73.3%,3533,9228
HILL,Hispanic,6753,589,1.6%,41,411770
RIVERO,Hispanic,6744,590,84.3%,4095,8001
CEDILLO,Hispanic,6738,591,95.1%,4587,7085
LAZO,Hispanic,6711,592,78.0%,3782,8600
WRIGHT,Hispanic,6694,593,1.5%,34,440367
GRIEGO,Hispanic,6634,594,84.2%,4164,7883
HALL,Hispanic,6630,595,1.4%,30,473568
LUCIO,Hispanic,6610,596,86.6%,4299,7632
VALERIO,Hispanic,6602,597,65.4%,3248,10098
MACIEL,Hispanic,6601,598,78.5%,3882,8407
BALTAZAR,Hispanic,6600,599,76.3%,3765,8650
PANIAGUA,Hispanic,6596,600,94.2%,4630,7004
SANCHES,Hispanic,6575,601,88.2%,4397,7457
DELUNA,Hispanic,6559,602,85.4%,4270,7684
DELRIO,Hispanic,6555,603,86.5%,4336,7580
MATEO,Hispanic,6523,604,76.4%,3811,8540
VIERA,Hispanic,6496,605,74.8%,3749,8686
OLMOS,Hispanic,6492,606,92.9%,4644,6985
INFANTE,Hispanic,6455,607,76.2%,3856,8467
MIRAMONTES,Hispanic,6451,608,94.3%,4740,6841
PARTIDA,Hispanic,6437,609,94.7%,4767,6797
OLIVO,Hispanic,6411,610,77.6%,3948,8262
MAESTAS,Hispanic,6398,611,81.7%,4198,7830
ROJO,Hispanic,6393,612,90.5%,4597,7062
BARBA,Hispanic,6392,613,70.3%,3593,9088
MAYORGA,Hispanic,6389,614,93.1%,4726,6864
RODARTE,Hispanic,6385,615,91.7%,4655,6962
CONCEPCION,Hispanic,6372,616,69.1%,3536,9222
TAVAREZ,Hispanic,6366,617,95.2%,4817,6690
INIGUEZ,Hispanic,6355,618,96.0%,4870,6621
MERINO,Hispanic,6339,619,84.7%,4390,7480
PALOMINO,Hispanic,6323,620,90.8%,4654,6963
BADILLO,Hispanic,6322,621,90.6%,4647,6980
PARDO,Hispanic,6313,622,71.4%,3687,8847
ALDANA,Hispanic,6311,623,88.5%,4565,7128
ARMIJO,Hispanic,6300,624,84.4%,4393,7465
GAONA,Hispanic,6264,625,93.8%,4823,6677
LEDEZMA,Hispanic,6246,626,95.9%,4954,6512
TAVERAS,Hispanic,6244,627,95.2%,4922,6559
DEANDA,Hispanic,6237,628,89.8%,4669,6944
CEDENO,Hispanic,6232,629,88.9%,4622,7014
MOSQUEDA,Hispanic,6212,630,92.2%,4786,6739
SANTAMARIA,Hispanic,6193,631,68.8%,3626,9005
VALDOVINOS,Hispanic,6167,632,96.7%,5047,6375
CHAVIRA,Hispanic,6146,633,94.5%,4961,6507
MAYA,Hispanic,6145,634,85.0%,4520,7227
JURADO,Hispanic,6138,635,90.1%,4760,6809
CAMPBELL,Hispanic,6137,636,1.6%,43,371953
AVINA,Hispanic,6128,637,92.4%,4858,6631
PEREIRA,Hispanic,6113,638,26.7%,1428,22921
BAHENA,Hispanic,6106,639,97.9%,5158,6240
LOZA,Hispanic,6089,640,91.4%,4832,6665
SARMIENTO,Hispanic,6079,641,67.6%,3630,8986
BAKER,Hispanic,6076,642,1.5%,38,413351
BALLESTEROS,Hispanic,6072,643,78.7%,4248,7714
GRACIA,Hispanic,6062,644,80.7%,4371,7514
MARISCAL,Hispanic,6056,645,94.6%,5029,6401
TINOCO,Hispanic,6056,645,94.9%,5046,6379
PERDOMO,Hispanic,6025,647,92.1%,4934,6544
MENDIOLA,Hispanic,6016,648,75.4%,4112,7980
MITCHELL,Hispanic,5989,649,1.6%,44,367433
RUEDA,Hispanic,5988,650,91.9%,4953,6513
MENCHACA,Hispanic,5987,651,90.5%,4872,6618
SANABRIA,Hispanic,5984,652,91.1%,4917,6566
BAEZA,Hispanic,5953,653,92.5%,4998,6436
MONTELONGO,Hispanic,5941,654,94.2%,5105,6308
ALFONSO,Hispanic,5931,655,61.6%,3404,9632
CANDELARIA,Hispanic,5924,656,82.2%,4526,7208
COTA,Hispanic,5914,657,63.2%,3494,9356
MORIN,Hispanic,5899,658,20.9%,1136,28184
TAMEZ,Hispanic,5896,659,91.8%,5013,6423
ARGUELLO,Hispanic,5890,660,89.4%,4900,6585
RODAS,Hispanic,5889,661,87.3%,4782,6743
CARDOZA,Hispanic,5888,662,57.0%,3185,10335
BARRETO,Hispanic,5856,663,81.2%,4524,7209
ECHEVERRIA,Hispanic,5843,664,90.2%,4975,6481
VALVERDE,Hispanic,5839,665,88.1%,4863,6628
COLLADO,Hispanic,5825,666,85.0%,4735,6854
ARANA,Hispanic,5814,667,83.6%,4660,6957
NOLASCO,Hispanic,5809,668,86.4%,4803,6720
ROBERTS,Hispanic,5786,669,1.6%,45,366215
CARVAJAL,Hispanic,5766,670,89.9%,5024,6411
PAULINO,Hispanic,5763,671,73.5%,4192,7840
MADERA,Hispanic,5759,672,80.4%,4549,7160
MERAZ,Hispanic,5753,673,94.2%,5252,6106
CAMARGO,Hispanic,5747,674,88.1%,4949,6520
PINTO,Hispanic,5731,675,32.8%,1883,17488
ISLAS,Hispanic,5709,676,94.6%,5316,6033
MAGALLANES,Hispanic,5697,677,90.5%,5116,6294
PLASCENCIA,Hispanic,5696,678,97.4%,5469,5846
VILLALPANDO,Hispanic,5675,679,93.9%,5307,6041
BARELA,Hispanic,5673,680,83.2%,4749,6822
ALCANTARA,Hispanic,5666,681,69.8%,4017,8112
QUESADA,Hispanic,5666,681,85.8%,4880,6603
SANTOYO,Hispanic,5649,683,93.7%,5319,6032
JORDAN,Hispanic,5640,684,2.9%,105,197212
ANGELES,Hispanic,5637,685,63.5%,3676,8873
LOVATO,Hispanic,5623,686,75.6%,4407,7437
RAMIRES,Hispanic,5619,687,96.4%,5490,5827
FRAUSTO,Hispanic,5596,688,93.8%,5368,5968
SARABIA,Hispanic,5589,689,90.6%,5203,6170
LOZADA,Hispanic,5568,690,85.4%,4945,6521
ZAYAS,Hispanic,5567,691,86.8%,5025,6410
PHILLIPS,Hispanic,5559,692,1.6%,47,351848
FRANCISCO,Hispanic,5546,693,30.9%,1833,17976
JAQUEZ,Hispanic,5540,694,93.4%,5402,5934
LIMA,Hispanic,5514,695,40.7%,2449,13539
CARTER,Hispanic,5511,696,1.5%,46,362548
PALACIO,Hispanic,5506,697,80.3%,4731,6860
CARTAGENA,Hispanic,5501,698,92.1%,5363,5974
MANRIQUEZ,Hispanic,5479,699,92.3%,5402,5934
SAMANIEGO,Hispanic,5456,700,86.4%,5101,6314
PELAYO,Hispanic,5453,701,90.1%,5295,6054
MONTEMAYOR,Hispanic,5448,702,82.2%,4860,6630
VILLATORO,Hispanic,5445,703,95.2%,5572,5720
JARA,Hispanic,5437,704,85.5%,5060,6359
SANTACRUZ,Hispanic,5423,705,87.6%,5187,6188
MONCADA,Hispanic,5420,706,88.9%,5257,6096
CASAREZ,Hispanic,5404,707,91.6%,5430,5898
ABARCA,Hispanic,5400,708,92.6%,5486,5830
GRIJALVA,Hispanic,5398,709,89.9%,5342,6007
MORRIS,Hispanic,5393,710,1.7%,56,311754
MAGDALENO,Hispanic,5388,711,93.2%,5527,5780
URIAS,Hispanic,5378,712,91.8%,5463,5857
PUENTES,Hispanic,5366,713,92.9%,5529,5778
PINO,Hispanic,5353,714,55.4%,3393,9656
CONDE,Hispanic,5339,715,70.4%,4335,7581
MATIAS,Hispanic,5325,716,73.0%,4476,7295
ALMARAZ,Hispanic,5319,717,94.4%,5651,5634
VACA,Hispanic,5315,718,91.2%,5485,5831
EVANS,Hispanic,5305,719,1.6%,48,342237
CASANOVA,Hispanic,5289,720,70.2%,4355,7533
GAITAN,Hispanic,5276,721,90.5%,5490,5827
TERAN,Hispanic,5275,722,89.9%,5452,5869
ORTA,Hispanic,5232,723,90.1%,5502,5808
ROGERS,Hispanic,5211,724,1.8%,61,294403
ZAMARRIPA,Hispanic,5174,725,93.7%,5747,5522
OSUNA,Hispanic,5169,726,89.2%,5516,5793
EDWARDS,Hispanic,5168,727,1.6%,53,317070
RESTREPO,Hispanic,5166,728,90.8%,5595,5692
OVIEDO,Hispanic,5162,729,93.2%,5732,5540
QUILES,Hispanic,5149,730,91.1%,5631,5654
MORGAN,Hispanic,5141,731,1.9%,62,276400
MARTE,Hispanic,5133,732,84.3%,5261,6090
COLLINS,Hispanic,5117,733,1.6%,52,317848
CASTELLON,Hispanic,5109,734,91.9%,5719,5557
ROYBAL,Hispanic,5088,735,81.2%,5142,6263
OVALLE,Hispanic,5079,736,92.9%,5792,5466
BORREGO,Hispanic,5071,737,89.6%,5622,5662
VELARDE,Hispanic,5068,738,79.6%,5056,6367
CASTANON,Hispanic,5063,739,94.3%,5902,5368
DELTORO,Hispanic,5060,740,92.0%,5763,5501
PALOMO,Hispanic,5028,741,88.1%,5583,5705
QUEVEDO,Hispanic,5012,742,89.4%,5676,5607
HARO,Hispanic,5008,743,89.4%,5682,5602
GALICIA,Hispanic,4984,744,88.1%,5629,5655
BAZAN,Hispanic,4980,745,82.0%,5275,6070
FAVELA,Hispanic,4980,745,94.9%,6034,5247
STEWART,Hispanic,4975,747,1.6%,54,312899
LEIVA,Hispanic,4971,748,90.3%,5760,5505
PARADA,Hispanic,4969,749,85.8%,5520,5790
LOREDO,Hispanic,4967,750,92.9%,5924,5349
BARAHONA,Hispanic,4967,750,93.0%,5936,5338
CARRASQUILLO,Hispanic,4958,752,92.2%,5892,5378
ORDAZ,Hispanic,4958,752,95.1%,6070,5211
CALDERA,Hispanic,4956,754,87.4%,5608,5673
POSADA,Hispanic,4956,754,90.6%,5789,5469
MANZANO,Hispanic,4955,756,74.3%,4830,6670
ABREGO,Hispanic,4954,757,92.0%,5882,5387
BOCANEGRA,Hispanic,4954,757,94.0%,6010,5272
MANCILLA,Hispanic,4946,759,90.5%,5791,5467
ARAIZA,Hispanic,4933,760,93.4%,6002,5284
VERDUGO,Hispanic,4913,761,88.7%,5730,5542
AMEZCUA,Hispanic,4911,762,96.2%,6180,5104
TALAVERA,Hispanic,4910,763,87.4%,5670,5615
RAYA,Hispanic,4906,764,87.1%,5653,5631
FERREIRA,Hispanic,4901,765,22.0%,1465,22320
ALEJANDRO,Hispanic,4888,766,83.6%,5468,5847
GALAN,Hispanic,4886,767,80.7%,5290,6057
GURROLA,Hispanic,4883,768,93.8%,6078,5205
IBANEZ,Hispanic,4881,769,81.1%,5328,6018
MELGAR,Hispanic,4874,770,91.9%,5977,5303
BUENROSTRO,Hispanic,4861,771,96.9%,6259,5018
ARRIOLA,Hispanic,4827,772,78.6%,5224,6140
SERVIN,Hispanic,4824,773,88.7%,5824,5437
PABON,Hispanic,4816,774,87.9%,5778,5481
OLIVERA,Hispanic,4792,775,74.7%,5021,6412
ASCENCIO,Hispanic,4783,776,94.6%,6227,5058
OZUNA,Hispanic,4779,777,92.6%,6120,5162
PUGA,Hispanic,4772,778,91.3%,6057,5224
JAMES,Hispanic,4758,779,2.0%,80,233224
PIZARRO,Hispanic,4737,780,83.7%,5627,5658
PARKER,Hispanic,4734,781,1.5%,51,324246
OROPEZA,Hispanic,4729,782,94.3%,6262,5015
MURO,Hispanic,4718,783,78.5%,5339,6009
MONGE,Hispanic,4710,784,81.7%,5541,5764
TURNER,Hispanic,4699,785,1.4%,49,335663
DAVALOS,Hispanic,4692,786,91.4%,6141,5135
VELIZ,Hispanic,4686,787,92.0%,6188,5094
TENORIO,Hispanic,4685,788,74.4%,5110,6301
DESANTIAGO,Hispanic,4683,789,96.7%,6463,4845
SEVILLA,Hispanic,4679,790,74.5%,5132,6281
BEJARANO,Hispanic,4677,791,92.2%,6212,5071
VERDUZCO,Hispanic,4660,792,94.8%,6373,4917
COTTO,Hispanic,4648,793,88.2%,6013,5268
MURPHY,Hispanic,4628,794,1.5%,58,300501
MENJIVAR,Hispanic,4620,795,95.9%,6496,4819
ARANGO,Hispanic,4617,796,88.8%,6086,5202
MANZANARES,Hispanic,4598,797,87.6%,6032,5249
PINON,Hispanic,4596,798,89.6%,6155,5127
MELCHOR,Hispanic,4591,799,83.5%,5770,5498
DELAFUENTE,Hispanic,4590,800,86.2%,5954,5324
DUQUE,Hispanic,4580,801,80.0%,5569,5723
PINEDO,Hispanic,4559,802,94.1%,6466,4843
LEIJA,Hispanic,4554,803,93.3%,6426,4879
LUCAS,Hispanic,4549,804,4.5%,275,100417
NUNO,Hispanic,4537,805,93.0%,6428,4878
GASTELUM,Hispanic,4535,806,92.7%,6410,4891
MICHEL,Hispanic,4532,807,21.1%,1539,21487
CARRIZALES,Hispanic,4530,808,93.2%,6439,4863
GALAVIZ,Hispanic,4529,809,94.1%,6502,4815
ABEYTA,Hispanic,4506,810,80.0%,5648,5635
KELLY,Hispanic,4505,811,1.7%,69,260385
VANEGAS,Hispanic,4468,812,93.2%,6523,4795
URRUTIA,Hispanic,4458,813,85.3%,6055,5225
LAGUNAS,Hispanic,4456,814,95.8%,6700,4651
LIZARRAGA,Hispanic,4448,815,93.8%,6592,4741
AVELAR,Hispanic,4439,816,88.2%,6249,5034
PALOMARES,Hispanic,4423,817,91.8%,6499,4817
ESCALERA,Hispanic,4419,818,91.6%,6491,4822
ORONA,Hispanic,4415,819,87.7%,6252,5032
HERMOSILLO,Hispanic,4412,820,92.6%,6563,4763
HUIZAR,Hispanic,4409,821,93.9%,6641,4693
RASCON,Hispanic,4382,822,92.2%,6573,4754
ANDINO,Hispanic,4379,823,90.3%,6456,4849
GIRALDO,Hispanic,4372,824,91.0%,6513,4807
RICHARDSON,Hispanic,4367,825,1.8%,74,249533
NAZARIO,Hispanic,4364,826,85.1%,6155,5127
LUEVANO,Hispanic,4356,827,93.6%,6698,4652
SALVADOR,Hispanic,4352,828,49.3%,3694,8827
DIMAS,Hispanic,4330,829,84.2%,6136,5140
GARRIDO,Hispanic,4328,830,75.9%,5589,5699
MEDELLIN,Hispanic,4300,831,90.8%,6599,4738
RIOJAS,Hispanic,4299,832,91.8%,6656,4684
PETERSON,Hispanic,4291,833,1.6%,63,275041
AGUERO,Hispanic,4286,834,89.7%,6546,4776
TOBAR,Hispanic,4278,835,86.7%,6355,4933
ALEXANDER,Hispanic,4275,836,2.2%,111,193443
CLAUDIO,Hispanic,4274,837,81.2%,6018,5263
DELAO,Hispanic,4272,838,89.5%,6550,4771
YEPEZ,Hispanic,4271,839,94.4%,6849,4524
CHAIREZ,Hispanic,4265,840,97.1%,7036,4391
LEOS,Hispanic,4245,841,89.5%,6592,4741
MACHUCA,Hispanic,4238,842,94.3%,6893,4492
SALMERON,Hispanic,4218,843,94.6%,6935,4461
ALMAGUER,Hispanic,4213,844,92.5%,6816,4553
LORA,Hispanic,4201,845,84.2%,6287,4992
VICENTE,Hispanic,4200,846,65.9%,5049,6374
COOK,Hispanic,4186,847,1.4%,60,294795
BARBOZA,Hispanic,4185,848,65.7%,5055,6371
BUSTILLOS,Hispanic,4180,849,93.0%,6888,4496
TOSCANO,Hispanic,4179,850,54.5%,4274,7673
GARCES,Hispanic,4179,850,83.5%,6272,5004
WARD,Hispanic,4168,852,1.6%,71,254121
CORONEL,Hispanic,4163,853,83.3%,6279,4997
COOPER,Hispanic,4159,854,1.5%,64,270097
MENESES,Hispanic,4155,855,73.0%,5593,5695
ESQUEDA,Hispanic,4155,855,95.3%,7077,4360
QUIROGA,Hispanic,4147,857,90.1%,6750,4602
LUCIANO,Hispanic,4146,858,48.9%,3848,8478
LUIS,Hispanic,4146,858,60.6%,4737,6845
ALVARENGA,Hispanic,4142,860,92.5%,6915,4476
ARREGUIN,Hispanic,4134,861,93.8%,7013,4406
CHAPARRO,Hispanic,4124,862,93.1%,6973,4431
BELL,Hispanic,4104,863,1.6%,67,264752
ARVIZU,Hispanic,4100,864,92.1%,6946,4451
CARRENO,Hispanic,4098,865,90.8%,6869,4512
VIRAMONTES,Hispanic,4077,866,94.8%,7157,4302
ANTONIO,Hispanic,4075,867,39.7%,3200,10267
RIZO,Hispanic,4075,867,92.7%,7030,4395
SENA,Hispanic,4067,869,59.6%,4746,6825
CABAN,Hispanic,4058,870,83.4%,6434,4868
ARAMBULA,Hispanic,4056,871,92.9%,7063,4367
GARDUNO,Hispanic,4035,872,91.8%,7028,4397
MORALEZ,Hispanic,4035,872,92.2%,7048,4378
PAYAN,Hispanic,4028,874,84.3%,6541,4780
GASPAR,Hispanic,4023,875,52.9%,4327,7601
OBREGON,Hispanic,4015,876,90.1%,6940,4457
TARANGO,Hispanic,4009,877,92.7%,7127,4324
ROSS,Hispanic,4003,878,1.8%,89,219961
BALDERRAMA,Hispanic,4002,879,89.4%,6908,4479
ROLON,Hispanic,3994,880,88.1%,6834,4534
GONSALEZ,Hispanic,3990,881,95.4%,7334,4184
PENALOZA,Hispanic,3988,882,94.4%,7279,4223
GUDINO,Hispanic,3982,883,95.2%,7340,4181
LANDA,Hispanic,3979,884,69.0%,5539,5765
RUBALCAVA,Hispanic,3974,885,94.4%,7302,4208
ESQUIBEL,Hispanic,3972,886,84.4%,6629,4708
CARPIO,Hispanic,3962,887,75.5%,6031,5250
WOOD,Hispanic,3957,888,1.6%,75,247299
BEDOLLA,Hispanic,3952,889,93.6%,7276,4224
HOWARD,Hispanic,3949,890,1.5%,70,254779
REY,Hispanic,3947,891,53.7%,4450,7348
BENNETT,Hispanic,3944,892,1.6%,78,239055
ALEGRIA,Hispanic,3943,893,89.5%,7013,4406
BOJORQUEZ,Hispanic,3933,894,92.8%,7258,4239
TURCIOS,Hispanic,3922,895,95.2%,7450,4118
OCEGUERA,Hispanic,3922,895,96.2%,7525,4078
CASTELLANO,Hispanic,3919,897,40.3%,3361,9732
ALMEIDA,Hispanic,3916,898,29.0%,2452,13523
LOPES,Hispanic,3914,899,24.4%,2074,16029
DIAS,Hispanic,3910,900,28.2%,2398,13847
IZQUIERDO,Hispanic,3902,901,91.8%,7237,4251
BROOKS,Hispanic,3900,902,1.6%,77,240751
BARCENAS,Hispanic,3900,902,93.6%,7373,4166
ALBARRAN,Hispanic,3897,904,93.9%,7403,4150
ALVA,Hispanic,3894,905,85.2%,6796,4573
AGOSTO,Hispanic,3894,905,86.2%,6860,4519
SANDERS,Hispanic,3888,907,1.8%,88,220902
OQUENDO,Hispanic,3884,908,90.5%,7170,4292
REED,Hispanic,3878,909,1.5%,65,267443
MACEDO,Hispanic,3877,910,66.9%,5512,5797
REZA,Hispanic,3877,910,82.3%,6623,4712
CARDOSO,Hispanic,3870,912,52.6%,4446,7361
COX,Hispanic,3857,913,1.5%,72,253771
MANDUJANO,Hispanic,3857,913,96.8%,7702,3983
BAILEY,Hispanic,3856,915,1.5%,66,265916
SANMIGUEL,Hispanic,3849,916,83.9%,6772,4588
CHAVES,Hispanic,3840,917,54.4%,4602,7055
WATSON,Hispanic,3830,918,1.6%,76,242432
RECINOS,Hispanic,3825,919,95.0%,7609,4028
MONREAL,Hispanic,3821,920,88.2%,7108,4334
GARNICA,Hispanic,3816,921,92.7%,7452,4117
LABOY,Hispanic,3810,922,84.6%,6885,4501
CASTREJON,Hispanic,3786,923,96.6%,7826,3921
PERRY,Hispanic,3785,924,1.8%,97,212644
DELAPAZ,Hispanic,3779,925,79.9%,6611,4729
CERVANTEZ,Hispanic,3772,926,91.9%,7482,4105
MIGUEL,Hispanic,3767,927,51.7%,4484,7282
GRANADO,Hispanic,3765,928,89.5%,7302,4208
FOSTER,Hispanic,3758,929,1.7%,87,221040
CHARLES,Hispanic,3751,930,7.3%,589,51518
IZAGUIRRE,Hispanic,3751,930,94.1%,7700,3985
MELGOZA,Hispanic,3749,932,96.6%,7916,3879
MONTESDEOCA,Hispanic,3747,933,94.5%,7726,3966
MALAVE,Hispanic,3741,934,89.5%,7344,4178
PERES,Hispanic,3730,935,77.8%,6528,4793
FABIAN,Hispanic,3720,936,34.0%,3034,10951
OLIVER,Hispanic,3718,937,3.3%,248,111641
GRAY,Hispanic,3716,938,1.6%,79,236713
DORADO,Hispanic,3715,939,90.2%,7452,4117
PERAZA,Hispanic,3712,940,92.7%,7660,4005
DURON,Hispanic,3703,941,84.8%,7063,4367
CERNA,Hispanic,3703,941,92.1%,7625,4020
GRIMALDO,Hispanic,3693,943,93.1%,7726,3966
GURULE,Hispanic,3685,944,80.2%,6760,4596
CARO,Hispanic,3681,945,72.9%,6236,5052
CAMPA,Hispanic,3679,946,83.8%,7038,4389
BERUMEN,Hispanic,3664,947,92.0%,7702,3983
LECHUGA,Hispanic,3658,948,94.4%,7925,3873
CASTANO,Hispanic,3646,949,76.9%,6596,4739
CALVO,Hispanic,3632,950,69.6%,6065,5218
HUGHES,Hispanic,3624,951,1.6%,83,229390
LAZARO,Hispanic,3604,952,63.1%,5581,5709
MARMOLEJO,Hispanic,3594,953,93.9%,8000,3828
TALAMANTES,Hispanic,3587,954,92.0%,7867,3901
GALLO,Hispanic,3583,955,16.9%,1560,21149
SORTO,Hispanic,3583,955,95.3%,8123,3760
ENCARNACION,Hispanic,3582,957,76.2%,6633,4703
BURCIAGA,Hispanic,3580,958,94.8%,8082,3778
UMANA,Hispanic,3578,959,90.7%,7762,3947
ZENDEJAS,Hispanic,3578,959,96.3%,8214,3714
MOREIRA,Hispanic,3572,961,56.1%,5059,6363
ROA,Hispanic,3570,962,78.2%,6802,4565
OLMEDO,Hispanic,3565,963,93.4%,8017,3816
CATALAN,Hispanic,3561,964,85.3%,7358,4173
ELIZALDE,Hispanic,3558,965,91.6%,7902,3886
MAGALLON,Hispanic,3557,966,94.3%,8092,3774
GOMES,Hispanic,3540,967,17.2%,1606,20532
SAIZ,Hispanic,3539,968,82.6%,7181,4285
SARAVIA,Hispanic,3531,969,93.0%,8057,3795
COLIN,Hispanic,3528,970,63.2%,5697,5583
SISNEROS,Hispanic,3524,971,84.4%,7347,4177
SULLIVAN,Hispanic,3515,972,1.6%,92,215640
CIFUENTES,Hispanic,3513,973,93.3%,8111,3766
RUSSELL,Hispanic,3512,974,1.6%,93,215432
GALLEGO,Hispanic,3510,975,78.6%,6930,4465
VELOZ,Hispanic,3505,976,93.3%,8128,3757
GOVEA,Hispanic,3503,977,91.2%,7986,3839
CHAIDEZ,Hispanic,3499,978,96.1%,8357,3640
TELLES,Hispanic,3498,979,77.3%,6850,4523
PELAEZ,Hispanic,3498,979,86.4%,7574,4048
SIMON,Hispanic,3487,981,4.7%,383,74839
ALMAZAN,Hispanic,3484,982,80.9%,7154,4304
COSME,Hispanic,3472,983,83.9%,7420,4140
PIZANO,Hispanic,3468,984,92.1%,8110,3767
SUAZO,Hispanic,3463,985,83.8%,7430,4133
PALAFOX,Hispanic,3427,986,89.5%,8003,3827
BARRIGA,Hispanic,3427,986,92.3%,8219,3711
AHUMADA,Hispanic,3425,988,93.1%,8276,3679
ARMAS,Hispanic,3422,989,79.0%,7110,4333
CASIANO,Hispanic,3417,990,84.8%,7607,4030
FREGOSO,Hispanic,3415,991,95.1%,8450,3590
AGUILA,Hispanic,3400,992,78.6%,7122,4326
